SKU,Parent,Author,Brand,Gender,Closure,Model,Type,Colour,Country_Manu,Upper_Mat,Lining_Mat,Insole_Mat,Heel_Height,Weight,Height,Length,Depth,PurchaseOrder,Label,Kids_Sizes,Adult_Sizes
46ur6u,True,Test,Asics,Male,test,3456,test,Pink,test,Leather,test,test,1.0,1.0,1.0,1.0,1.0,1,test,2,
46ur6u,,Test,Asics,Male,test,3456,test,Pink,test,Leather,test,test,1.0,1.0,1.0,1.0,1.0,1,test,3,
46ur6u,,Test,Asics,Male,test,3456,test,Pink,test,Leather,test,test,1.0,1.0,1.0,1.0,1.0,1,test,4,
46ur6u,,Test,Asics,Male,test,3456,test,Pink,test,Leather,test,test,1.0,1.0,1.0,1.0,1.0,1,test,5,
46ur6u,,Test,Asics,Male,test,3456,test,Pink,test,Leather,test,test,1.0,1.0,1.0,1.0,1.0,1,test,6,
46ur6u,True,Test,Asics,Male,test,3456,test,Pink,test,Leather,test,test,1.0,1.0,1.0,1.0,1.0,1,test,2,
46ur6u,,Test,Asics,Male,test,3456,test,Pink,test,Leather,test,test,1.0,1.0,1.0,1.0,1.0,1,test,3,
46ur6u,,Test,Asics,Male,test,3456,test,Pink,test,Leather,test,test,1.0,1.0,1.0,1.0,1.0,1,test,4,
46ur6u,,Test,Asics,Male,test,3456,test,Pink,test,Leather,test,test,1.0,1.0,1.0,1.0,1.0,1,test,5,
46ur6u,,Test,Asics,Male,test,3456,test,Pink,test,Leather,test,test,1.0,1.0,1.0,1.0,1.0,1,test,6,
,,Test,,,,,,,,,,,,,,,,,,,
,,Test,,,,,,,,,,,,,,,,,,,
,,Test,,,,,,,,,,,,,,,,,,,
,,Test,,,,,,,,,,,,,,,,,,,
,,Test,,,,,,,,,,,,,,,,,,,
